Codigo_Cliente;Segmento_RFM;CLV_Estimado;CLV_Categoria;Score_Saude_Cliente;Prioridade_Acao;Estrategia_Recomendada;Receita_Total;Ticket_Medio;Num_Transacoes;Days_Since_Last_Purchase;Risco_Churn_Flag;R_Score;F_Score;M_Score;RFM_Score;Estado_Estimado;Faixa_Etaria_Estimada;Genero_Estimado;Categoria_Preferida;Canal_Preferencial;Padrao_Sazonal;Primeira_Compra;Ultima_Compra;Quantidade_sum;Produtos_Unicos;Grupo_Produto_<lambda>;Total_Itens;Customer_Lifecycle_Days;Avg_Days_Between_Purchases;Recency_Days;Frequency_Count;Monetary_Value;Purchase_Frequency_Annual;Estimated_Margin_Per_Purchase;Estimated_Lifetime_Years;CLV_Projetado_24M;Estado_Civil_Estimado;Mes_Pico_Compras;Proxima_Compra_Prevista_Dias;Investimento_Sugerido;ROI_Esperado_Estrategia;Score_Atividade;Score_Fidelidade;Score_Valor;Score_Potencial;Score_Urgencia
CM0005390;Em_Risco;74295.48;Premium;19.7;1;Reativacao_Urgente;3537.88;153.8208695652174;23;18;0;2;5;4;254;MG;26-35;Masculino;Pulseiras;Telefone;Datas_Comemorativas;2025-05-08;2025-05-08;121;23;ALIANCA ACO;23;1;0.0;18;23;3537.88;230.0;92.29252173913044;3.5;148590.96;Solteiro;5;0.0;500.0;2.0;35.7;14.3;3.9;3.9;50
CM0058101;Em_Risco;81683.28;Premium;19.0;1;Reativacao_Urgente;3889.6800000000003;353.60727272727274;11;17;0;2;5;4;254;MG;18-25;Feminino;Pulseiras;Telefone;Datas_Comemorativas;2025-05-09;2025-05-09;102;11;ALIANCA PRATA;11;1;0.1;17;11;3889.6800000000003;110.0;212.16436363636365;3.5;163366.56;Casado;5;0.0;500.0;2.0;39.3;6.8;4.3;4.3;50
CM0035576;Em_Risco;89033.91;Premium;18.8;1;Reativacao_Urgente;4239.71;471.0788888888889;9;17;0;2;4;4;244;PR;26-35;Masculino;Brincos;E-commerce;Datas_Comemorativas;2025-05-09;2025-05-09;109;9;ALIANCA PRATA;9;1;0.1;17;9;4239.71;90.0;282.64733333333334;3.5;178067.82;Casado;5;0.0;500.0;2.0;39.3;5.6;4.6;4.6;50
CM0013221;Em_Risco;90920.97;Premium;18.4;1;Reativacao_Urgente;4329.57;618.51;7;17;0;2;3;4;234;PR;18-25;Feminino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-09;2025-05-09;83;7;ALIANCA PRATA;7;1;0.1;17;7;4329.57;70.0;371.106;3.5;181841.94;Solteiro;5;0.0;500.0;2.0;39.3;4.3;4.7;4.7;50
CM0049615;Em_Risco;279092.1;Premium;18.3;1;Reativacao_Urgente;13290.1;2215.016666666667;6;19;0;2;3;5;235;SP;26-35;Masculino;Colares;Telefone;Datas_Comemorativas;2025-05-07;2025-05-07;261;6;ALIANCA PRATA;6;1;0.2;19;6;13290.1;60.0;1329.01;3.5;558184.2;Casado;5;0.0;500.0;2.0;32.1;3.7;14.5;14.5;50
CM0060226;Em_Risco;121880.64;Premium;18.2;1;Reativacao_Urgente;5803.84;527.6218181818182;11;18;0;2;5;5;255;RJ;26-35;Feminino;Brincos;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;148;11;ALIANCA PRATA;11;1;0.1;18;11;5803.84;110.0;316.5730909090909;3.5;243761.28;Casado;5;0.0;500.0;2.0;35.7;6.8;6.3;6.3;50
C000008567;Em_Risco;424609.92;Premium;18.1;1;Reativacao_Urgente;20219.52;2527.44;8;21;0;1;4;5;145;RJ;36-50;Feminino;Anéis;Telefone;Datas_Comemorativas;2025-05-05;2025-05-05;722;8;ALIANCA PRATA;8;1;0.1;21;8;20219.52;80.0;1516.464;3.5;849219.84;Solteiro;5;0.0;500.0;2.0;25.0;5.0;22.1;22.1;50
C000008681;Em_Risco;110646.48;Premium;17.9;1;Reativacao_Urgente;5268.88;526.888;10;18;0;2;4;5;245;MG;26-35;Masculino;Pulseiras;Telefone;Datas_Comemorativas;2025-05-08;2025-05-08;143;10;ALIANCA PRATA;10;1;0.1;18;10;5268.88;100.0;316.13280000000003;3.5;221292.96;Casado;5;0.0;500.0;2.0;35.7;6.2;5.8;5.8;50
CM0005429;Em_Risco;48760.32;Premium;17.6;1;Reativacao_Urgente;2321.92;386.9866666666667;6;17;0;2;3;3;233;MG;18-25;Feminino;Brincos;Telefone;Datas_Comemorativas;2025-05-09;2025-05-09;44;6;ALIANCA LATAO FOLHEA;6;1;0.2;17;6;2321.92;60.0;232.192;3.5;97520.64;Casado;5;0.0;500.0;2.0;39.3;3.7;2.5;2.5;50
CM0048165;Em_Risco;41251.14;Premium;17.6;1;Reativacao_Urgente;1964.34;280.62;7;17;0;2;3;3;233;RS;26-35;Masculino;Pulseiras;Telefone;Datas_Comemorativas;2025-05-02;2025-05-09;61;6;ALIANCA MOEDA;7;8;1.1;17;7;1964.34;70.0;168.37199999999999;3.5;82502.28;Solteiro;5;0.0;500.0;2.0;39.3;4.3;2.1;2.1;50
C000008648;Em_Risco;62407.59;Premium;17.3;1;Reativacao_Urgente;2971.79;270.1627272727273;11;18;0;2;4;4;244;MG;18-25;Feminino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;112;11;ALIANCA PRATA;11;1;0.1;18;11;2971.79;110.0;162.09763636363638;3.5;124815.18;Casado;5;0.0;500.0;2.0;35.7;6.8;3.3;3.3;50
C000008813;Em_Risco;29117.34;Alto;17.3;1;Reativacao_Urgente;1386.54;231.09;6;17;0;2;3;3;233;MG;18-25;Masculino;Brincos;E-commerce;Datas_Comemorativas;2025-05-09;2025-05-09;41;6;ALIANCA PRATA;6;1;0.2;17;6;1386.54;60.0;138.654;3.5;58234.68;Casado;5;0.0;500.0;2.0;39.3;3.7;1.5;1.5;30
C000008815;Em_Risco;29214.36;Alto;17.3;1;Reativacao_Urgente;1391.1599999999999;231.85999999999999;6;17;0;2;3;3;233;SP;26-35;Feminino;Brincos;E-commerce;Datas_Comemorativas;2025-05-09;2025-05-09;41;6;ALIANCA PRATA;6;1;0.2;17;6;1391.1599999999999;60.0;139.11599999999999;3.5;58428.72;Casado;5;0.0;500.0;2.0;39.3;3.7;1.5;1.5;30
CM0056510;Em_Risco;87854.13;Premium;17.3;1;Reativacao_Urgente;4183.53;464.83666666666664;9;18;0;2;4;4;244;MG;26-35;Feminino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;127;9;ALIANCA PRATA;9;1;0.1;18;9;4183.53;90.0;278.902;3.5;175708.26;Casado;5;0.0;500.0;2.0;35.7;5.6;4.6;4.6;50
C000008655;Em_Risco;70886.13;Premium;17.2;1;Reativacao_Urgente;3375.53;337.553;10;18;0;2;4;4;244;RS;26-35;Feminino;Brincos;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;100;10;ALIANCA PRATA;10;1;0.1;18;10;3375.53;100.0;202.5318;3.5;141772.26;Casado;5;0.0;500.0;2.0;35.7;6.2;3.7;3.7;50
C000008812;Em_Risco;26972.82;Alto;17.2;1;Reativacao_Urgente;1284.42;214.07000000000002;6;17;0;2;3;3;233;PR;26-35;Masculino;Brincos;E-commerce;Datas_Comemorativas;2025-05-09;2025-05-09;38;6;ALIANCA PRATA;6;1;0.2;17;6;1284.42;60.0;128.442;3.5;53945.64;Casado;5;0.0;500.0;2.0;39.3;3.7;1.4;1.4;30
C000008814;Em_Risco;25489.8;Alto;17.2;1;Reativacao_Urgente;1213.8;202.29999999999998;6;17;0;2;3;2;232;MG;18-25;Feminino;Pulseiras;Telefone;Datas_Comemorativas;2025-05-09;2025-05-09;36;6;ALIANCA PRATA;6;1;0.2;17;6;1213.8;60.0;121.37999999999998;3.5;50979.6;Solteiro;5;0.0;500.0;2.0;39.3;3.7;1.3;1.3;30
CM0056472;Em_Risco;94008.81;Premium;17.2;1;Reativacao_Urgente;4476.61;559.57625;8;18;0;2;4;4;244;MG;26-35;Masculino;Pulseiras;Telefone;Datas_Comemorativas;2025-05-08;2025-05-08;137;8;ALIANCA PRATA;8;1;0.1;18;8;4476.61;80.0;335.74575;3.5;188017.62;Casado;5;0.0;500.0;2.0;35.7;5.0;4.9;4.9;50
CM0056495;Em_Risco;92842.68;Premium;17.2;1;Reativacao_Urgente;4421.08;552.635;8;18;0;2;4;4;244;MG;26-35;Masculino;Brincos;Telefone;Datas_Comemorativas;2025-05-08;2025-05-08;146;8;ALIANCA PRATA;8;1;0.1;18;8;4421.08;80.0;331.58099999999996;3.5;185685.36;Casado;5;0.0;500.0;2.0;35.7;5.0;4.8;4.8;50
C000008811;Em_Risco;29020.32;Alto;17.1;1;Reativacao_Urgente;1381.92;276.384;5;17;0;2;3;3;233;MG;26-35;Feminino;Brincos;E-commerce;Datas_Comemorativas;2025-05-09;2025-05-09;40;5;ALIANCA PRATA;5;1;0.2;17;5;1381.92;50.0;165.8304;3.5;58040.64;Casado;5;0.0;500.0;2.0;39.3;3.1;1.5;1.5;30
CM0056466;Em_Risco;73696.98;Premium;17.1;1;Reativacao_Urgente;3509.38;389.93111111111114;9;18;0;2;4;4;244;RS;26-35;Masculino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;103;9;ALIANCA PRATA;9;1;0.1;18;9;3509.38;90.0;233.95866666666666;3.5;147393.96;Casado;5;0.0;500.0;2.0;35.7;5.6;3.8;3.8;50
CM0005001;Em_Risco;22127.7;Alto;17.0;1;Reativacao_Urgente;1053.7;210.74;5;17;0;2;3;2;232;SP;26-35;Masculino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-05;2025-05-09;23;5;ALIANCA LATAO FOLHEA;5;5;1.0;17;5;1053.7;50.0;126.444;3.5;44255.4;Casado;5;0.0;500.0;2.0;39.3;3.1;1.2;1.2;30
CM0034588;Em_Risco;131785.08;Premium;17.0;1;Reativacao_Urgente;6275.4800000000005;570.4981818181818;11;19;0;2;4;5;245;MG;26-35;Masculino;Brincos;E-commerce;Datas_Comemorativas;2025-05-07;2025-05-07;143;11;ALIANCA PRATA;11;1;0.1;19;11;6275.4800000000005;110.0;342.2989090909091;3.5;263570.16;Casado;5;0.0;500.0;2.0;32.1;6.8;6.9;6.9;50
CM0051211;Em_Risco;22466.22;Alto;17.0;1;Reativacao_Urgente;1069.8200000000002;213.96400000000003;5;17;0;2;3;2;232;MG;26-35;Feminino;Pulseiras;Telefone;Datas_Comemorativas;2025-05-09;2025-05-09;19;5;ALIANCA PRATA;5;1;0.2;17;5;1069.8200000000002;50.0;128.3784;3.5;44932.44;Casado;5;0.0;500.0;2.0;39.3;3.1;1.2;1.2;30
CM0056489;Em_Risco;77189.07;Premium;17.0;1;Reativacao_Urgente;3675.67;459.45875;8;18;0;2;4;4;244;SP;18-25;Masculino;Brincos;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;123;8;ALIANCA PRATA;8;1;0.1;18;8;3675.67;80.0;275.67525;3.5;154378.14;Casado;5;0.0;500.0;2.0;35.7;5.0;4.0;4.0;50
CM0048053;Em_Risco;59559.57;Premium;16.9;1;Reativacao_Urgente;2836.17;315.13;9;18;0;2;4;4;244;SP;18-25;Feminino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;90;9;ALIANCA PRATA;9;1;0.1;18;9;2836.17;90.0;189.078;3.5;119119.14;Casado;5;0.0;500.0;2.0;35.7;5.6;3.1;3.1;50
CM0059039;Em_Risco;56760.48;Premium;16.9;1;Reativacao_Urgente;2702.88;300.32;9;18;0;2;4;4;244;RS;26-35;Feminino;Brincos;Telefone;Datas_Comemorativas;2025-05-08;2025-05-08;82;9;ALIANCA PRATA;9;1;0.1;18;9;2702.88;90.0;180.19199999999998;3.5;113520.96;Casado;5;0.0;500.0;2.0;35.7;5.6;3.0;3.0;50
C000008416;Em_Risco;54281.85;Premium;16.8;1;Reativacao_Urgente;2584.85;287.2055555555555;9;18;0;2;4;4;244;RS;26-35;Feminino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;76;9;ALIANCA PRATA;9;1;0.1;18;9;2584.85;90.0;172.3233333333333;3.5;108563.7;Solteiro;5;0.0;500.0;2.0;35.7;5.6;2.8;2.8;50
CM0005745;Em_Risco;130918.41;Premium;16.8;1;Reativacao_Urgente;6234.21;346.345;18;20;0;1;5;5;155;MG;26-35;Masculino;Brincos;E-commerce;Datas_Comemorativas;2025-05-06;2025-05-06;270;18;ALIANCA ACO;18;1;0.1;20;18;6234.21;180.0;207.80700000000002;3.5;261836.82;Casado;5;0.0;500.0;2.0;28.6;11.2;6.8;6.8;50
CM0034996;Em_Risco;89164.32;Premium;16.8;1;Reativacao_Urgente;4245.92;707.6533333333333;6;18;0;2;3;4;234;SP;18-25;Feminino;Brincos;Telefone;Datas_Comemorativas;2025-05-08;2025-05-08;141;6;ALIANCA PRATA;6;1;0.2;18;6;4245.92;60.0;424.592;3.5;178328.64;Solteiro;5;0.0;500.0;2.0;35.7;3.7;4.6;4.6;50
CM0039829;Em_Risco;111095.04;Premium;16.8;1;Reativacao_Urgente;5290.24;440.8533333333333;12;19;0;2;5;5;255;RJ;26-35;Feminino;Brincos;E-commerce;Datas_Comemorativas;2025-05-07;2025-05-07;80;12;ALIANCA PRATA;12;1;0.1;19;12;5290.24;120.0;264.51199999999994;3.5;222190.08;Solteiro;5;0.0;500.0;2.0;32.1;7.5;5.8;5.8;50
CM0056503;Em_Risco;52279.92;Premium;16.8;1;Reativacao_Urgente;2489.52;276.61333333333334;9;18;0;2;4;3;243;PR;18-25;Masculino;Brincos;Telefone;Datas_Comemorativas;2025-05-08;2025-05-08;86;9;ALIANCA PRATA;9;1;0.1;18;9;2489.52;90.0;165.968;3.5;104559.84;Casado;5;0.0;500.0;2.0;35.7;5.6;2.7;2.7;50
CM0005903;Em_Risco;62212.5;Premium;16.7;1;Reativacao_Urgente;2962.5;370.3125;8;18;0;2;4;4;244;RJ;26-35;Feminino;Brincos;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;66;8;ALIANCA LATAO FOLHEA;8;1;0.1;18;8;2962.5;80.0;222.1875;3.5;124425.0;Solteiro;5;0.0;500.0;2.0;35.7;5.0;3.2;3.2;50
CM0059230;Em_Risco;64942.92;Premium;16.6;1;Reativacao_Urgente;3092.52;441.7885714285714;7;18;0;2;4;4;244;RJ;26-35;Masculino;Brincos;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;69;7;ALIANCA PRATA;7;1;0.1;18;7;3092.52;70.0;265.07314285714284;3.5;129885.84;Solteiro;5;0.0;500.0;2.0;35.7;4.3;3.4;3.4;50
CM0056532;Em_Risco;39555.6;Premium;16.4;1;Reativacao_Urgente;1883.6000000000001;235.45000000000002;8;18;0;2;4;3;243;RS;18-25;Feminino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;67;8;ALIANCA PRATA;8;1;0.1;18;8;1883.6000000000001;80.0;141.27;3.5;79111.2;Casado;5;0.0;500.0;2.0;35.7;5.0;2.1;2.1;50
C000008623;Em_Risco;47180.07;Premium;16.3;1;Reativacao_Urgente;2246.67;320.95285714285717;7;18;0;2;3;3;233;MG;18-25;Masculino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;82;7;ALIANCA PRATA;7;1;0.1;18;7;2246.67;70.0;192.5717142857143;3.5;94360.14;Solteiro;5;0.0;500.0;2.0;35.7;4.3;2.5;2.5;50
CM0045971;Em_Risco;149706.27;Premium;16.3;1;Reativacao_Urgente;7128.87;1188.145;6;19;0;2;3;5;235;SP;26-35;Feminino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-07;2025-05-07;162;6;ALIANCA PRATA;6;1;0.2;19;6;7128.87;60.0;712.887;3.5;299412.54;Casado;5;0.0;500.0;2.0;32.1;3.7;7.8;7.8;50
C000008827;Em_Risco;103356.33;Premium;16.2;1;Reativacao_Urgente;4921.7300000000005;289.51352941176475;17;20;0;1;5;4;154;SP;26-35;Feminino;Pulseiras;Telefone;Datas_Comemorativas;2025-05-06;2025-05-06;136;17;ALIANCA PRATA;17;1;0.1;20;17;4921.7300000000005;170.0;173.70811764705886;3.5;206712.66;Solteiro;5;0.0;500.0;2.0;28.6;10.6;5.4;5.4;50
CM0005708;Em_Risco;29663.55;Alto;16.2;1;Reativacao_Urgente;1412.55;176.56875;8;18;0;2;4;3;243;RS;18-25;Masculino;Brincos;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;49;8;ALIANCA ACO;8;1;0.1;18;8;1412.55;80.0;105.94125;3.5;59327.1;Casado;5;0.0;500.0;2.0;35.7;5.0;1.5;1.5;30
CM0048047;Em_Risco;37086.84;Premium;16.1;1;Reativacao_Urgente;1766.04;252.29142857142855;7;18;0;2;3;3;233;RJ;26-35;Feminino;Brincos;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;58;7;ALIANCA PRATA;7;1;0.1;18;7;1766.04;70.0;151.37485714285714;3.5;74173.68;Casado;5;0.0;500.0;2.0;35.7;4.3;1.9;1.9;50
CM0049489;Em_Risco;46798.08;Premium;16.1;1;Reativacao_Urgente;2228.48;371.41333333333336;6;18;0;2;3;3;233;MG;26-35;Feminino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;61;6;ALIANCA MOEDA;6;1;0.2;18;6;2228.48;60.0;222.848;3.5;93596.16;Casado;5;0.0;500.0;2.0;35.7;3.7;2.4;2.4;50
C000008466;Em_Risco;27439.02;Alto;16.0;1;Reativacao_Urgente;1306.6200000000001;186.66000000000003;7;18;0;2;3;3;233;RS;26-35;Feminino;Brincos;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;52;7;ALIANCA PRATA;7;1;0.1;18;7;1306.6200000000001;70.0;111.99600000000001;3.5;54878.04;Solteiro;5;0.0;500.0;2.0;35.7;4.3;1.4;1.4;30
CM0005405;Em_Risco;35375.34;Premium;15.8;1;Reativacao_Urgente;1684.54;336.908;5;18;0;2;3;3;233;MG;26-35;Feminino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;73;5;ALIANCA ACO;5;1;0.2;18;5;1684.54;50.0;202.1448;3.5;70750.68;Solteiro;5;0.0;500.0;2.0;35.7;3.1;1.8;1.8;50
CM0020439;Em_Risco;51797.76;Premium;15.7;1;Reativacao_Urgente;2466.56;224.23272727272726;11;19;0;2;4;3;243;PR;26-35;Feminino;Brincos;E-commerce;Datas_Comemorativas;2025-05-07;2025-05-07;79;11;ALIANCA PRATA;11;1;0.1;19;11;2466.56;110.0;134.53963636363636;3.5;103595.52;Casado;5;0.0;500.0;2.0;32.1;6.8;2.7;2.7;50
CM0005245;Em_Risco;56908.95;Premium;15.6;1;Reativacao_Urgente;2709.95;270.995;10;19;0;2;4;4;244;RJ;26-35;Masculino;Pulseiras;Telefone;Datas_Comemorativas;2025-05-07;2025-05-07;52;10;ALIANCA PRATA;10;1;0.1;19;10;2709.95;100.0;162.597;3.5;113817.9;Casado;5;0.0;500.0;2.0;32.1;6.2;3.0;3.0;50
CM0028688;Em_Risco;54910.59;Premium;15.2;1;Reativacao_Urgente;2614.79;326.84875;8;19;0;2;4;4;244;RJ;26-35;Feminino;Pulseiras;Telefone;Datas_Comemorativas;2025-05-06;2025-05-07;20;8;ALIANCA BLEND;8;2;0.2;19;8;2614.79;80.0;196.10925;3.5;109821.18;Casado;5;0.0;500.0;2.0;32.1;5.0;2.9;2.9;50
CM0030261;Em_Risco;42835.38;Premium;15.0;1;Reativacao_Urgente;2039.78;254.9725;8;19;0;2;4;3;243;PR;26-35;Masculino;Brincos;E-commerce;Outono;2025-04-30;2025-05-07;10;7;FINANCEIRO;8;8;1.0;19;8;2039.78;80.0;152.9835;3.5;85670.76;Casado;4;0.0;500.0;2.0;32.1;5.0;2.2;2.2;50
CM0033525;Em_Risco;102782.19;Premium;14.9;1;Reativacao_Urgente;4894.39;489.439;10;20;0;1;4;4;144;MG;26-35;Masculino;Brincos;E-commerce;Outono;2025-04-30;2025-05-06;105;9;ALIANCA PRATA;10;7;0.7;20;10;4894.39;100.0;293.6634;3.5;205564.38;Casado;4;0.0;500.0;2.0;28.6;6.2;5.4;5.4;50
CM0005407;Em_Risco;139972.77;Premium;14.6;1;Reativacao_Urgente;6665.37;512.7207692307692;13;21;0;1;5;5;155;RJ;18-25;Masculino;Brincos;E-commerce;Datas_Comemorativas;2025-05-02;2025-05-05;186;13;ALIANCA ACO;13;4;0.3;21;13;6665.37;130.0;307.6324615384615;3.5;279945.54;Casado;5;0.0;500.0;2.0;25.0;8.1;7.3;7.3;50
CM0059967;Em_Risco;33868.17;Premium;14.3;1;Reativacao_Urgente;1612.77;322.554;5;19;0;2;3;3;233;RJ;26-35;Masculino;Brincos;E-commerce;Datas_Comemorativas;2025-05-07;2025-05-07;5;5;ALIANCA BLEND;5;1;0.2;19;5;1612.77;50.0;193.53239999999997;3.5;67736.34;Casado;5;0.0;500.0;2.0;32.1;3.1;1.8;1.8;50
CM0057017;Em_Risco;24711.75;Alto;14.2;1;Reativacao_Urgente;1176.75;235.35;5;19;0;2;3;2;232;MG;18-25;Masculino;Pulseiras;E-commerce;Outono;2025-04-29;2025-05-07;5;5;ALIANCA PRATA;5;9;1.8;19;5;1176.75;50.0;141.20999999999998;3.5;49423.5;Casado;4;0.0;500.0;2.0;32.1;3.1;1.3;1.3;30
CM0038103;Em_Risco;49832.58;Premium;14.1;1;Reativacao_Urgente;2372.98;237.298;10;20;0;1;4;3;143;SP;26-35;Masculino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-06;2025-05-06;55;10;ALIANCA PRATA;10;1;0.1;20;10;2372.98;100.0;142.37879999999998;3.5;99665.16;Solteiro;5;0.0;500.0;2.0;28.6;6.2;2.6;2.6;50
CM0057939;Em_Risco;66958.5;Premium;14.0;1;Reativacao_Urgente;3188.5;398.5625;8;20;0;1;4;4;144;MG;26-35;Feminino;Brincos;E-commerce;Datas_Comemorativas;2025-05-06;2025-05-06;102;8;ALIANCA PRATA;8;1;0.1;20;8;3188.5;80.0;239.1375;3.5;133917.0;Casado;5;0.0;500.0;2.0;28.6;5.0;3.5;3.5;50
